lambda (nm),counts,
662.144,-257.83,
662.477,-11.83,
662.811,-178.83,
663.145,-191.83,
663.478,-236.83,
663.812,-365.83,
664.145,-286.83,
664.479,-211.83,
664.812,-367.83,
665.146,-228.83,
665.479,-174.83,
665.812,-195.83,
666.146,-339.83,
666.479,-447.83,
666.812,-422.83,
667.145,-397.83,
667.478,-265.83,
667.811,-120.83,
668.144,-279.83,
668.477,-319.83,
0.669,-459.83,
669.143,-189.83,
669.476,-337.83,
669.809,-412.83,
670.141,-214.83,
670.474,-293.83,
670.807,-261.83,
671.139,-310.83,
671.472,-127.83,
671.804,-410.83,
672.137,541.17,
672.469,794.17,
672.802,-81.83,
673.134,-214.83,
673.467,-127.83,
673.799,-279.83,
674.131,-221.83,
674.463,-114.83,
674.795,-392.83,
675.127,-203.83,
675.459,-251.83,
675.792,-200.83,
676.123,-257.83,
676.455,-285.83,
676.787,-363.83,
677.119,-193.83,
677.451,-401.83,
677.783,-111.83,
678.114,-56.83,
678.446,-292.83,
678.778,-263.83,
679.109,774.17,
679.441,-464.83,
679.772,-185.83,
680.104,-144.83,
680.435,-349.83,
680.767,-157.83,
681.098,-281.83,
681.429,-160.83,
0.682,-358.83,
682.092,-281.83,
