lambda (nm),counts
671.472,-58.75
671.804,-367.75
672.137,488.25
672.469,748.25
672.802,-58.75
673.134,-146.75
673.467,-109.75
673.799,-247.75
674.131,-187.75
674.463,-18.75
674.795,-359.75
675.127,-194.75
675.459,-197.75
675.792,-163.75
676.123,-181.75
676.455,-261.75
676.787,-316.75
677.119,-147.75
677.451,-362.75
677.783,-64.75
678.114,-42.75
678.446,-234.75
678.778,-224.75
679.109,786.25
679.441,-418.75
679.772,-175.75
680.104,-131.75
680.435,-260.75
680.767,-128.75
681.098,-238.75
681.429,-138.75
0.682,-288.75
682.092,-226.75
682.423,-52.75
682.754,-5.75
683.085,-319.75
683.416,-382.75
683.747,-194.75
684.078,-73.75
684.409,-62.75
0.685,-302.75
0.685,-142.75
685.401,-278.75
685.732,-303.75
686.063,-44.75
686.393,-65.75
686.724,-373.75
687.054,-131.75
687.385,-343.75
687.715,-147.75
688.046,-213.75
688.376,2.25
688.706,-93.75
689.037,-344.75
689.367,-228.75
689.697,-360.75
690.027,-290.75
690.357,-123.75
690.687,-33.75
691.017,-320.75
691.347,-157.75
691.677,-184.75
692.007,-172.75
692.337,-203.75
692.667,-145.75
692.997,-240.75
693.326,-359.75
693.656,-271.75
693.986,-171.75
694.315,-153.75
694.645,58.25
694.974,-322.75
695.304,-179.75
695.633,-256.75
695.962,-244.75
696.292,-139.75
696.621,-405.75
0.697,-157.75
697.279,-196.75
697.609,-109.75
697.938,16.25
698.267,101.25
698.596,-378.75
698.925,-118.75
699.254,-238.75
699.583,-127.75
699.911,-351.75
0.700,-409.75
700.569,-131.75
700.898,-401.75
701.226,123.25
701.555,-444.75
701.883,-471.75
702.212,-217.75
0.703,-243.75
702.869,-228.75
703.197,-192.75
703.526,-345.75
703.854,-81.75
704.182,-172.75
0.705,11.25
704.839,-420.75
705.167,-119.75
705.495,-160.75
705.823,-232.75
706.151,-34.75
706.479,-401.75
706.807,-278.75
707.135,-334.75
707.462,10.25
0.708,-38.75
708.118,-55.75
708.446,-356.75
708.773,-247.75
709.101,162.25
709.429,-32.75
709.756,-141.75
710.084,-312.75
710.411,-204.75
710.738,-60.75
711.066,-166.75
711.393,-86.75
0.712,-242.75
712.047,-183.75
712.375,208.25
712.702,-121.75
713.029,-335.75
713.356,262.25
713.683,-170.75
0.714,-124.75
714.337,-295.75
714.663,-258.75
0.715,-399.75
715.317,-287.75
715.644,-151.75
0.716,-492.75
716.297,-73.75
716.624,-141.75
0.717,-167.75
717.277,-412.75
717.603,-147.75
0.718,-198.75
718.256,-171.75
718.582,-221.75
718.908,-96.75
719.235,-92.75
719.561,-295.75
719.887,-339.75
720.213,-438.75
720.539,-94.75
720.865,-334.75
721.191,-413.75
721.517,-243.75
721.843,-216.75
722.169,-206.75
722.495,-259.75
0.723,-44.75
723.146,-173.75
723.472,-20.75
723.797,-307.75
724.123,-185.75
724.448,-131.75
724.774,-318.75
725.099,433.25
725.425,22.25
0.726,-148.75
726.075,-46.75
0.726,-215.75
726.726,-214.75
727.051,-244.75
727.376,-215.75
727.701,-103.75
728.026,-259.75
728.351,-289.75
728.676,-196.75
729.001,932.25
729.326,-189.75
729.651,-214.75
729.975,-188.75
0.730,-335.75
730.625,-240.75
730.949,-339.75
731.274,-324.75
731.598,264.25
731.923,-340.75
732.247,-69.75
732.572,-159.75
732.896,-39.75
0.733,-111.75
733.545,-278.75
733.869,-38.75
734.193,-34.75
734.517,-358.75
734.841,-77.75
